v /net1; tran (V) X,v /net1; tran (V) Y,v /VOUT; tran (V) X,v /VOUT; tran (V) Y,v /clk; tran (V) X,v /clk; tran (V) Y,v /net4; tran (V) X,v /net4; tran (V) Y
2.840480283082437e-10,0.6000007138905592,2.840480283082437e-10,0.6000017155247479,2.840480283082437e-10,-0.001687314603720047,2.840480283082437e-10,0.6
2.844586274256452e-10,0.6000007149225073,2.844586274256452e-10,0.6000016823816419,2.844586274256452e-10,-0.001765822650169604,2.844586274256452e-10,0.6
2.848651323307761e-10,0.6000007159441656,2.848651323307761e-10,0.6000016628856641,2.848651323307761e-10,-0.001818371094591445,2.848651323307761e-10,0.6
2.852553328767237e-10,0.6000007169248465,2.852553328767237e-10,0.6000016637520287,2.852553328767237e-10,-0.001832060367295536,2.852553328767237e-10,0.6
2.855977145860946e-10,0.6000007177853456,2.855977145860946e-10,0.6000016868592291,2.855977145860946e-10,-0.001802277372356056,2.855977145860946e-10,0.6
2.859136972424881e-10,0.6000007185794967,2.859136972424881e-10,0.600001733296709,2.859136972424881e-10,-0.001727921315036621,2.859136972424881e-10,0.6
2.862047115855517e-10,0.6000007193108955,2.862047115855517e-10,0.6000018035810419,2.862047115855517e-10,-0.001608138926491243,2.862047115855517e-10,0.6
2.864751420022428e-10,0.6000007199905613,2.864751420022428e-10,0.6000018980870662,2.864751420022428e-10,-0.00144242418621468,2.864751420022428e-10,0.6
2.867322857567568e-10,0.600000720636834,2.867322857567568e-10,0.6000020189048496,2.867322857567568e-10,-0.00122716094436555,2.867322857567568e-10,0.6
2.869817650800622e-10,0.6000007212638439,2.869817650800622e-10,0.6000021697755075,2.869817650800622e-10,-0.0009555717858048745,2.869817650800622e-10,0.6
2.872275383305019e-10,0.6000007218815394,2.872275383305019e-10,0.6000023541030777,2.872275383305019e-10,-0.0006214107614284067,2.872275383305019e-10,0.6
2.874733694861153e-10,0.6000007224993805,2.874733694861153e-10,0.60000257689894,2.874733694861153e-10,-0.0002153969132169158,2.874733694861153e-10,0.6
2.877236982846273e-10,0.6000007231285254,2.877236982846273e-10,0.6000028452782689,2.877236982846273e-10,0.0002756972675926425,2.877236982846273e-10,0.6
2.879868581924577e-10,0.6000007237899184,2.879868581924577e-10,0.6000031531503417,2.879868581924577e-10,0.0008404443994597687,2.879868581924577e-10,0.6
2.882900506774419e-10,0.6000007245519242,2.882900506774419e-10,0.6000035692215335,2.882900506774419e-10,0.001606326434020639,2.882900506774419e-10,0.6
2.887028038807075e-10,0.6000007255892862,2.887028038807075e-10,0.6000042125625322,2.887028038807075e-10,0.002794396518748258,2.887028038807075e-10,0.6
2.890629815849538e-10,0.6000007264945115,2.890629815849538e-10,0.6000048240902564,2.890629815849538e-10,0.003926986210103111,2.890629815849538e-10,0.6
2.893205775984784e-10,0.6000007271419209,2.893205775984784e-10,0.6000052883477298,2.893205775984784e-10,0.004788739808788083,2.893205775984784e-10,0.6
2.895492778037782e-10,0.6000007277167072,2.895492778037782e-10,0.6000057118105411,2.895492778037782e-10,0.005576064998097651,2.895492778037782e-10,0.6
2.897927499082621e-10,0.6000007283286193,2.897927499082621e-10,0.6000061685453554,2.897927499082621e-10,0.006426514790057974,2.897927499082621e-10,0.6
2.900518016609888e-10,0.6000007289796874,2.900518016609888e-10,0.6000066565014194,2.900518016609888e-10,0.007336466751509389,2.900518016609888e-10,0.6
2.903486598516504e-10,0.6000007297257733,2.903486598516504e-10,0.6000072126037213,2.903486598516504e-10,0.008375152187774274,2.903486598516504e-10,0.6
2.906847196406063e-10,0.6000007305703837,2.906847196406063e-10,0.6000078318960116,2.906847196406063e-10,0.009533851897602526,2.906847196406063e-10,0.6
2.910578696764591e-10,0.6000007315082121,2.910578696764591e-10,0.6000084996534075,2.910578696764591e-10,0.0107854869485943,2.910578696764591e-10,0.6
2.914704727386728e-10,0.6000007325451967,2.914704727386728e-10,0.6000092061570221,2.914704727386728e-10,0.01211219240351848,2.914704727386728e-10,0.6
2.919235257268767e-10,0.600000733683843,2.919235257268767e-10,0.6000099362538912,2.919235257268767e-10,0.01348571833202685,2.919235257268767e-10,0.6
2.924145905590647e-10,0.6000007349180235,2.924145905590647e-10,0.6000106680119016,2.924145905590647e-10,0.01486478393843987,2.924145905590647e-10,0.6
2.929318746768921e-10,0.6000007362181004,2.929318746768921e-10,0.600011369402815,2.929318746768921e-10,0.01618872022860909,2.929318746768921e-10,0.6
2.934520812309633e-10,0.6000007375255221,2.934520812309633e-10,0.6000120056734706,2.934520812309633e-10,0.01739137418099869,2.934520812309633e-10,0.6
2.9397175398231e-10,0.6000007388316021,2.9397175398231e-10,0.6000125817453607,2.9397175398231e-10,0.01848154701228033,2.9397175398231e-10,0.6
2.945410130589312e-10,0.6000007402623062,2.945410130589312e-10,0.6000131570186108,2.945410130589312e-10,0.01957148526429306,2.945410130589312e-10,0.6
2.952725174598398e-10,0.6000007421007773,2.952725174598398e-10,0.6000137990655381,2.952725174598398e-10,0.02078891075084376,2.952725174598398e-10,0.6
2.965170096823064e-10,0.6000007452285274,2.965170096823064e-10,0.600014466087029,2.965170096823064e-10,0.02204863106102615,2.965170096823064e-10,0.6
2.979455355093259e-10,0.6000007488188044,2.979455355093259e-10,0.6000143835807978,2.979455355093259e-10,0.02186738767231104,2.979455355093259e-10,0.6
2.995083905174794e-10,0.6000007527466874,2.995083905174794e-10,0.6000133626676744,2.995083905174794e-10,0.01988554495495373,2.995083905174794e-10,0.6
3.008973224710506e-10,0.6000007562374542,3.008973224710506e-10,0.6000118793989727,3.008973224710506e-10,0.01703090074801992,3.008973224710506e-10,0.6
3.021068220187838e-10,0.6000007592772582,3.021068220187838e-10,0.6000103477236844,3.021068220187838e-10,0.01410008100253496,3.021068220187838e-10,0.6
3.03452958425992e-10,0.6000007626604679,3.03452958425992e-10,0.6000086443970395,3.03452958425992e-10,0.01085708881846571,3.03452958425992e-10,0.6
3.046074639750306e-10,0.6000007655620568,3.046074639750306e-10,0.6000073576190862,3.046074639750306e-10,0.008417135139741161,3.046074639750306e-10,0.6
3.057159703174691e-10,0.6000007683480372,3.057159703174691e-10,0.6000063436767701,3.057159703174691e-10,0.006499674935761751,3.057159703174691e-10,0.6
3.068690933034085e-10,0.6000007712461513,3.068690933034085e-10,0.6000055164489135,3.068690933034085e-10,0.00493790431763081,3.068690933034085e-10,0.6
3.081721245732047e-10,0.6000007745210261,3.081721245732047e-10,0.6000048149170979,3.081721245732047e-10,0.003614452552159109,3.081721245732047e-10,0.6
3.096623043625289e-10,0.6000007782662563,3.096623043625289e-10,0.6000042419448839,3.096623043625289e-10,0.002533273998808417,3.096623043625289e-10,0.6
3.113536189662847e-10,0.6000007825169936,3.113536189662847e-10,0.6000037993115013,3.113536189662847e-10,0.001696766065206961,3.113536189662847e-10,0.6
3.132627708765025e-10,0.6000007873152157,3.132627708765025e-10,0.6000034754464876,3.132627708765025e-10,0.001082734838240789,3.132627708765025e-10,0.6
3.154166861538474e-10,0.6000007927285952,3.154166861538474e-10,0.6000032493355584,3.154166861538474e-10,0.0006517030924949499,3.154166861538474e-10,0.6
